Variable Name,Label,Value Labels,Level,Role,Type of data,Full Question
ResponseId,Response Identifier,,Nominal,Input,ResponseId,
Gender,Gender:Gender,2:Female|1:Male|3:Other|4:Prefer not to say|9998:(Not asked),Nominal,Input,Numeric,Are you...? <inst>Please click on one of the options below</inst>
Age,Age:,9999:(Don't know)|9998:(Not asked),Scale,Input,Numeric,How <h>old</h> are you? <inst>Please move the slider until it shows your age in the box on the left.</inst>
Regions,Regions:Regions,1:Northern Ireland|2:Scotland|3:North-West|4:North-East|5:Yorkshire & The Humber|6:Wales|7:West Midlands|8:East Midlands|9:South-West|10:South-East|11:Eastern|12:London|0:Other|9998:(Not asked),Nominal,Input,Numeric,Where do you live?  <img src='logos/Viga/2018/map2018.png' />  <inst>Please look carefully at the map and select the region where you live from the list below.</inst>
S4,S4:S4,"1:Within the last week|2:Over 1 week but within 1 month|3:Over 1 month, but within 3 months|4:Over 3 months ago|5:Don’t know / can’t remember|9998:(Not asked)",Nominal,Input,Numeric,When did you last place a real money bet online? <inst>Please select one option</inst>
S5_1,S5:888,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_2,S5:PaddyPower,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_3,S5:Betfair,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_4,S5:Stars Group: Sky,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_5,S5:Ladbrokes,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_6,S5:Coral,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_7,S5:betway,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_8,S5:mansion bet,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_9,S5:MoPlay,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_10,S5:32red,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_11,S5:GROSVENOR,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_12,S5:Genting,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_13,S5:Dunder,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_14,S5:Grand Ivy Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_15,S5:The Hippodrome Online Casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_16,S5:mansion casino,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_17,S5:casimba,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_18,S5:SPORTNATION.BET,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_19,S5:William Hill,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_20,S5:NetBet,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_21,S5:Karamba,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_22,S5:Comeon,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_23,S5:Casumo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_24,S5:ROYAL PANDA,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_25,S5:mr.green,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_26,S5:ASPERS CASINO,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_27,S5:Party,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_28,S5:Heart Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_29,S5:Butlers,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_30,S5:Betfred,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_31,S5:Rosy Bingo,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_32,S5:Dotty,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
S5_33,S5:bingo diamond,0:No|1:Yes|9998:(Not asked),Nominal,Input,Numeric,Which of the following brands are you aware of? <inst>Please select all that apply</inst>
